y_High,y_Low,y_Today,y_Direction,Lag1,Lag2,Lag3,Lag4,Lag5,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,FXI.Lag1,FXI.Lag2,FXI.Lag3,FXI.Lag4,FXI.Lag5,FXI.P1,FXI.P2,FXI.P3,FXI.P4,FXI.P5,FXI.P6,FXI.P7,FXI.P8,FXI.P9,FXI.P10,EWU.Lag1,EWU.Lag2,EWU.Lag3,EWU.Lag4,EWU.Lag5,EWU.P1,EWU.P2,EWU.P3,EWU.P4,EWU.P5,EWU.P6,EWU.P7,EWU.P8,EWU.P9,EWU.P10,EWJ.Lag1,EWJ.Lag2,EWJ.Lag3,EWJ.Lag4,EWJ.Lag5,EWJ.P1,EWJ.P2,EWJ.P3,EWJ.P4,EWJ.P5,EWJ.P6,EWJ.P7,EWJ.P8,EWJ.P9,EWJ.P10,EWG.Lag1,EWG.Lag2,EWG.Lag3,EWG.Lag4,EWG.Lag5,EWG.P1,EWG.P2,EWG.P3,EWG.P4,EWG.P5,EWG.P6,EWG.P7,EWG.P8,EWG.P9,EWG.P10,VIX.Lag1,VIX.Lag2,VIX.Lag3,VIX.Lag4,VIX.Lag5,VIX.P1,VIX.P2,VIX.P3,VIX.P4,VIX.P5,VIX.P6,VIX.P7,VIX.P8,VIX.P9,VIX.P10
0.01304337,0,0.012042347,Up,0.003531814,0.006263262,-0.004313421,0.004032128,-0.010658535,0.112414612,-0.047032828,0.005695878,0.007069443,0.006831624,0.013604241,0.058969407,0.033717769,0.087320477,0.008309183,0.016832143,-0.000280625,-0.009259339,0.002780256,-0.017284747,0.457603408,0.190612667,0.010314979,0.012895968,0.0115645,0.046337203,0.079213593,0.046033808,0.081185705,0.018420317,0.005512596,-0.002771375,-0.004975186,0,-0.006050708,0.653485685,1.191861774,0.000772426,0.004628866,0.007122916,0.017398237,0.031621661,0.023430225,0.076263846,0.009423392,-0.008196751,0.00993694,0.005474315,0.039449394,-0.003820246,-0.119577679,-0.037622593,0.009562336,0.018705821,0.010218238,0.04614901,0.116831429,0.038903725,0.125635987,0.011009267,0.002044216,0.002048118,-0.013957303,0.001214753,-0.0028374,0.445268171,0.002466204,-0.002447029,0.006824832,0.010526573,0.027989731,0.063998964,0.022303305,0.115033375,0.012371093,-0.027258567,-0.055344958,0.002155172,-0.023038157,0.100633357,0.112414612,-0.047032828,-0.056576047,0.060139296,0.071391471,0.258485711,0.556409506,0.157030961,0.225905449,0.072941176
0.006058962,-0.000982495,0.003539677,Up,0.012042347,0.003531814,0.006263262,-0.004313421,0.004032128,0.058079836,0.04905546,0.013530505,0.005887499,0.006894985,0.022889427,0.069220489,0.02417273,0.088630853,0.01304337,0.004942406,0.016832143,-0.000280625,-0.009259339,0.002780256,-1.058867285,-0.385623888,0.012229016,0.009436674,0.011465605,0.047927121,0.079069269,0.044584248,0.081308579,0.009366391,0.011444018,0.005512596,-0.002771375,-0.004975186,0,-0.095037256,0.595821056,0.010462489,0.006648726,0.007177962,0.016183473,0.030748817,0.014676979,0.07704541,0.007662808,0.02051749,-0.008196751,0.00993694,0.005474315,0.039449394,-0.263306227,-0.221746826,0.016872382,0.0178217,0.010380401,0.055953362,0.12818488,0.042012016,0.127778271,0.008078927,0.018852943,0.002044216,0.002048118,-0.013957303,0.001214753,-1.251701949,-0.41411415,0.014569505,0.011611093,0.010624607,0.02720448,0.062737757,0.023050139,0.116082367,0.011750365,-0.038834951,-0.027258567,-0.055344958,0.002155172,-0.023038157,0.058079836,0.04905546,-0.066465257,0.02120477,0.071469892,0.170153908,0.560996994,0.147470073,0.22362382,0.045454545
-4.39E-05,-0.008409863,-0.002844837,Down,0.003539677,0.012042347,0.003531814,0.006263262,-0.004313421,-0.017501731,0.028307037,0.012813281,0.005897446,0.0067186,0.024820016,0.071302457,0.025791597,0.090088485,0.007048382,-0.004135825,0.004942406,0.016832143,-0.000280625,-0.009259339,-0.444207108,-0.531451374,0.00638167,0.009969323,0.011453062,0.049991858,0.078900098,0.042701787,0.081452607,0.007460625,0.00434077,0.011444018,0.005512596,-0.002771375,-0.004975186,-4.129567308,-0.686042475,0.012081231,0.006631451,0.007059276,0.015288275,0.029712987,0.01554499,0.077972914,0.006511042,0.011463888,0.02051749,-0.008196751,0.00993694,0.005474315,0.725214917,1.039607838,0.020518476,0.010500266,0.010308656,0.064289194,0.138205948,0.041764297,0.116216384,0.014184375,0.005584303,0.018852943,0.002044216,0.002048118,-0.013957303,0.377221512,-0.031368843,0.017203629,0.011697517,0.010590607,0.026750403,0.061341357,0.023482,0.117243803,0.010404162,-0.009803922,-0.038834951,-0.027258567,-0.055344958,0.002155172,-0.017501731,0.028307037,-0.051897754,0.022816149,0.071052901,0.177527521,0.567112639,0.142097937,0.220582148,0.038683128
-6.30E-06,-0.023016614,-0.02350614,Down,-0.002844837,0.003539677,0.012042347,0.003531814,0.006263262,-0.058528705,-0.01000649,0.005393824,0.00538057,0.006725745,0.023192988,0.069608711,0.025077949,0.087130105,0.008436919,-0.007499771,-0.004135825,0.004942406,0.016832143,-0.000280625,0.327144514,-0.12746884,-0.003101376,0.009509751,0.011477942,0.052773289,0.078797733,0.040165901,0.081539758,0.011777958,0,0.00434077,0.011444018,0.005512596,-0.002771375,0.453422678,-0.410676124,0.008315955,0.005459727,0.007059968,0.014431854,0.028690508,0.016375403,0.078888463,0.006546699,0.001760342,0.011463888,0.02051749,-0.008196751,0.00993694,-1.339824334,-0.123480797,0.015010601,0.010835396,0.010223669,0.06234404,0.137296748,0.035847866,0.102629321,0.007079624,-0.006827331,0.005584303,0.018852943,0.002044216,0.002048118,-0.010386714,0.032525054,0.005898058,0.009319421,0.010621629,0.026434164,0.060026141,0.023782768,0.118337716,0.008501983,-0.014925373,-0.009803922,-0.038834951,-0.027258567,-0.055344958,-0.058528705,-0.01000649,-0.038124103,0.018439953,0.071050461,0.176410518,0.573548799,0.134541741,0.217381065,0.094245204
0.014809703,0,0.014105414,Up,-0.02350614,-0.002844837,0.003539677,0.012042347,0.003531814,0.311974129,0.29689422,-0.016363111,0.013418063,0.007169791,0.022445373,0.06822846,0.021298482,0.070200023,0.023552411,-0.03092805,-0.007499771,-0.004135825,0.004942406,0.016832143,0.473024028,0.45013501,-0.029191078,0.017686202,0.011886718,0.056263724,0.079012407,0.056173825,0.099662974,0.015463947,-0.021618434,0,0.00434077,0.011444018,0.005512596,-0.198016685,-0.494429413,-0.013020986,0.012723331,0.007396533,0.014134303,0.02785323,0.012814149,0.062665347,0.011653662,-0.007985759,0.001760342,0.011463888,0.02051749,-0.008196751,-0.136635391,-0.224828204,0.003383129,0.012497808,0.010160819,0.059174443,0.1346766,0.033130307,0.09382652,0.008888933,-0.022587341,-0.006827331,0.005584303,0.018852943,0.002044216,0.252030022,0.239418997,-0.015843567,0.015377552,0.010856371,0.026626636,0.058886056,0.023599712,0.098587327,0.013147083,0.301679213,-0.014925373,-0.009803922,-0.038834951,-0.027258567,0.311974129,0.29689422,0.29324547,0.145506297,0.076878307,0.316277534,0.572612118,0.138741394,0.217846932,0.364139021
0,-0.019611707,-0.014535947,Down,0.014105414,-0.02350614,-0.002844837,0.003539677,0.012042347,-0.275106028,-0.005167565,-0.003042993,0.015123785,0.007051404,0.021366806,0.066886056,0.012978505,0.070752427,0.014809703,0.017998179,-0.03092805,-0.007499771,-0.004135825,0.004942406,-0.761403974,-0.041441633,-0.007646092,0.018036386,0.011829846,0.058523911,0.079265654,0.054154232,0.099451663,0.009356337,0.009879012,-0.021618434,0,0.00434077,0.011444018,-0.727767202,-0.573829393,-0.00404512,0.013336851,0.007246518,0.013632592,0.027088922,0.008355201,0.058985639,0.009407886,0.009666082,-0.007985759,0.001760342,0.011463888,0.02051749,-0.654718656,-0.507173841,0.006011262,0.010744164,0.010117566,0.05771907,0.134082662,0.035226219,0.095892629,0.007971656,0.018145109,-0.022587341,-0.006827331,0.005584303,0.018852943,-0.255261708,0.056276552,-0.000403169,0.017592511,0.010768684,0.026282996,0.057774151,0.023926541,0.092641494,0.008126696,-0.237106017,0.301679213,-0.014925373,-0.009803922,-0.038834951,-0.275106028,-0.005167565,0.028133746,0.193039144,0.080048576,0.316444761,0.574006654,0.138631975,0.217153346,0.069015097
0.001527049,-0.010296313,-0.00674621,Down,-0.014535947,0.014105414,-0.02350614,-0.002844837,0.003539677,0.140133308,0.108850959,-0.012861952,0.014793419,0.007225697,0.021100192,0.065714359,0.012165996,0.06961931,0.02000402,-0.020959043,0.017998179,-0.03092805,-0.007499771,-0.004135825,0.540526008,0.67658506,-0.019315094,0.018564857,0.011970756,0.061773702,0.079622279,0.053695285,0.101475555,0.015652203,-0.018446077,0.009879012,-0.021618434,0,0.00434077,0.710859479,0.842082392,-0.017141058,0.014057575,0.007484704,0.014115723,0.026558482,0.016132122,0.0567375,0.008427079,-0.007079555,0.009666082,-0.007985759,0.001760342,0.011463888,0.37315946,-0.242611855,-0.002647792,0.009077431,0.010150754,0.054745381,0.131570542,0.0379386,0.096911465,0.011576158,-0.035922925,0.018145109,-0.022587341,-0.006827331,0.005584303,0.739340236,1.404003508,-0.027303654,0.021572194,0.011364161,0.027645172,0.057105556,0.03711043,0.089568409,0.020605508,0.154451847,-0.237106017,0.301679213,-0.014925373,-0.009803922,0.140133308,0.108850959,0.145891172,0.202394232,0.081600725,0.306386949,0.572448857,0.14521294,0.217928131,0.194926569
0.009263063,-0.001433541,0.008770304,Up,-0.00674621,-0.014535947,0.014105414,-0.02350614,-0.002844837,-0.092400021,-0.010590355,-0.012977947,0.014067497,0.0072669,0.02109692,0.064642112,0.01207302,0.065270228,0.011946365,0.002862831,-0.020959043,0.017998179,-0.03092805,-0.007499771,-1.500640916,-0.354000185,-0.009021745,0.019283116,0.011923058,0.065217694,0.080059733,0.050625831,0.10111148,0.012374101,0.001116663,-0.018446077,0.009879012,-0.021618434,0,-1.546965752,-0.293796498,-0.010387983,0.013578078,0.007481072,0.014431863,0.026045254,0.015825412,0.049010956,0.00896861,-0.007130156,-0.007079555,0.009666082,-0.007985759,0.001760342,-0.258433994,-0.143282599,-0.007606543,0.007714743,0.010192559,0.052469286,0.129170237,0.040014688,0.092937224,0.007162041,-0.00672855,-0.035922925,0.018145109,-0.022587341,-0.006827331,-0.829842588,0.14854097,-0.023569096,0.020250183,0.011382444,0.029536181,0.056544762,0.041785971,0.065348639,0.013947591,0.059794935,0.154451847,-0.237106017,0.301679213,-0.014925373,-0.092400021,-0.010590355,0.134953414,0.200596057,0.081820351,0.314961738,0.570004012,0.15381159,0.219144097,0.11519614
0.006622761,-0.004539501,0.00464,Up,0.008770304,-0.00674621,-0.014535947,0.014105414,-0.02350614,-0.089899632,-0.108682745,5.79E-05,0.015725715,0.007210798,0.020857262,0.063603825,0.012304892,0.066181817,0.01071196,0.03106779,0.002862831,-0.020959043,0.017998179,-0.03092805,0.523935716,0.197035608,0.022462869,0.025947848,0.012099866,0.067662232,0.080430061,0.048447139,0.100803272,0.010047362,0.004446937,0.001116663,-0.018446077,0.009879012,-0.021618434,0.361672207,0.099769417,-0.001110551,0.014186119,0.007315025,0.014692365,0.02564956,0.01557268,0.049377704,0.00501952,0.010582128,-0.007130156,-0.007079555,0.009666082,-0.007985759,-0.066386613,-0.113715325,0.00336235,0.009609732,0.010181133,0.04949273,0.126767625,0.042729683,0.094867243,0.010695187,0.001260111,-0.00672855,-0.035922925,0.018145109,-0.022587341,-1.984314956,-0.604909276,-0.013506736,0.020955948,0.011014158,0.031711818,0.056258172,0.039761054,0.065602165,0.01139232,-0.173012625,0.059794935,0.154451847,-0.237106017,0.301679213,-0.089899632,-0.108682745,-0.067522101,0.22491929,0.083584167,0.30872226,0.570188468,0.157826744,0.219052356,0.141896436
0.010931172,0,0.010311778,Up,0.00464,0.008770304,-0.00674621,-0.014535947,0.014105414,-0.197991194,-0.187847087,0.003411285,0.011688073,0.007213691,0.020610527,0.062495929,0.012543613,0.067154524,0.011213164,0.00469374,0.03106779,0.002862831,-0.020959043,0.017998179,-1.35090641,-0.415524638,0.019764648,0.019392482,0.012106684,0.058124336,0.08071699,0.045962357,0.100564473,0.009468115,0.002771889,0.004446937,0.001116663,-0.018446077,0.009879012,0.006099111,0.061247606,0.001665955,0.010799855,0.007308773,0.014766809,0.025192183,0.015500456,0.049801623,0.010061487,-0.000882926,0.010582128,-0.007130156,-0.007079555,0.009666082,-0.133276175,-0.140293128,0.001414004,0.008686734,0.010183309,0.046725499,0.124386329,0.045253748,0.096780138,0.009786544,0.005014633,0.001260111,-0.00672855,-0.035922925,0.018145109,0.718091574,0.230333594,-0.005072295,0.020157077,0.011024531,0.033659653,0.055920452,0.037948157,0.065900922,0.012674229,-0.040305768,-0.173012625,0.059794935,0.154451847,-0.237106017,-0.197991194,-0.187847087,-0.070293308,0.161285477,0.083619135,0.302896078,0.571393925,0.161575938,0.218452811,0.13960114
